iter	Logloss
0	0.6922768083
1	0.6914071306
2	0.6905403759
3	0.6896793095
4	0.6888131578
5	0.6879495787
6	0.687091575
7	0.6862285901
8	0.6853684541
9	0.6845163591
10	0.6836590739
11	0.6828074837
12	0.6819560053
13	0.6811021706
14	0.680253909
15	0.6794081815
16	0.6785603156
17	0.6777178356
18	0.6768756974
19	0.6760337371
20	0.6751944888
21	0.6743529551
22	0.6735169552
23	0.6726784855
24	0.67184834
25	0.6710102987
26	0.670177998
27	0.6693536825
28	0.6685218345
29	0.6676955055
30	0.6668666564
31	0.6660434958
32	0.6652177814
33	0.664397737
34	0.6635779254
35	0.6627610289
36	0.6619364209
37	0.6611227132
38	0.660309162
39	0.6594933271
40	0.6586830728
41	0.6578729376
42	0.6570605971
43	0.6562591456
44	0.6554525457
45	0.6546462029
46	0.653842818
47	0.653042607
48	0.6522370726
49	0.6514424793
