iter	Passed	Remaining
0	147	7209
1	147	3536
2	147	2311
3	147	1698
4	147	1331
5	148	1086
6	148	911
7	148	779
8	148	677
9	148	595
10	149	528
11	149	472
12	149	425
13	149	384
14	149	349
15	149	318
16	150	291
17	150	267
18	150	245
19	150	226
20	150	208
21	151	192
22	151	177
23	151	164
24	151	151
25	151	140
26	151	129
27	152	119
28	152	110
29	152	101
30	152	93
31	152	85
32	153	78
33	153	72
34	153	65
35	153	59
36	153	54
37	153	48
38	154	43
39	154	38
40	154	33
41	154	29
42	154	25
43	154	21
44	155	17
45	155	13
46	155	9
47	155	6
48	155	3
49	155	0
