iter	Passed	Remaining
0	190	9351
1	201	4830
2	218	3419
3	235	2708
4	251	2267
5	269	1979
6	290	1784
7	309	1625
8	330	1505
9	348	1394
10	365	1296
11	382	1212
12	400	1138
13	417	1074
14	435	1016
15	463	985
16	499	969
17	517	919
18	534	871
19	560	841
20	597	825
21	615	783
22	649	762
23	676	733
24	694	694
25	711	657
26	735	626
27	769	604
28	792	573
29	816	544
30	854	523
31	871	490
32	889	458
33	916	431
34	934	400
35	951	370
36	968	340
37	994	314
38	1011	285
39	1039	259
40	1064	233
41	1083	206
42	1113	181
43	1131	154
44	1154	128
45	1234	107
46	1272	81
47	1290	53
48	1332	27
49	1378	0
