iter	Passed	Remaining
0	61	12211
1	62	6164
2	62	4118
3	64	3142
4	64	2526
5	65	2113
6	66	1844
7	67	1622
8	68	1450
9	69	1313
10	69	1202
11	70	1106
12	71	1022
13	71	951
14	73	901
15	73	848
16	75	817
17	76	773
18	77	734
19	77	698
20	78	668
21	79	641
22	79	615
23	80	589
24	81	567
25	81	546
26	82	526
27	82	508
28	83	492
29	84	476
30	84	461
31	85	446
32	85	433
33	86	420
34	86	409
35	87	398
36	88	388
37	88	378
38	89	368
39	89	359
40	90	351
41	91	342
42	92	338
43	93	332
44	94	324
45	94	317
46	96	312
47	96	306
48	97	300
49	98	294
50	98	288
51	99	282
52	99	277
53	100	271
54	101	267
55	101	262
56	102	257
57	103	253
58	104	248
59	104	244
60	105	239
61	106	236
62	106	232
63	107	228
64	108	224
65	109	221
66	109	218
67	110	213
68	111	211
69	112	208
70	112	204
71	113	201
72	113	198
73	115	196
74	115	193
75	116	190
76	117	187
77	117	183
78	118	181
79	118	178
80	119	175
81	120	173
82	121	170
83	122	168
84	122	166
85	123	163
86	123	160
87	124	158
88	124	155
89	125	153
90	126	151
91	126	148
92	127	146
93	128	144
94	128	142
95	129	140
96	130	138
97	130	136
98	131	134
99	132	132
100	132	130
101	133	128
102	133	126
103	134	124
104	135	122
105	135	120
106	136	118
107	137	116
108	137	114
109	138	113
110	138	111
111	139	109
112	139	107
113	140	106
114	141	104
115	142	102
116	143	101
117	144	100
118	145	98
119	145	97
120	146	95
121	147	94
122	148	92
123	148	91
124	149	89
125	150	88
126	150	86
127	151	85
128	151	83
129	152	82
130	153	80
131	153	79
132	154	77
133	155	76
134	155	74
135	156	73
136	157	72
137	157	70
138	158	69
139	158	68
140	159	66
141	160	65
142	160	64
143	161	62
144	162	61
145	162	60
146	163	59
147	164	57
148	165	56
149	165	55
150	166	54
151	167	52
152	167	51
153	168	50
154	169	49
155	169	47
156	170	46
157	170	45
158	171	44
159	172	43
160	172	41
161	173	40
162	174	39
163	175	38
164	175	37
165	176	36
166	177	35
167	178	33
168	179	32
169	180	31
170	180	30
171	181	29
172	182	28
173	182	27
174	183	26
175	183	25
176	184	23
177	185	22
178	186	21
179	186	20
180	187	19
181	187	18
182	188	17
183	189	16
184	189	15
185	190	14
186	191	13
187	192	12
188	193	11
189	194	10
190	195	9
191	195	8
192	196	7
193	197	6
194	197	5
195	198	4
196	199	3
197	199	2
198	200	1
199	201	0
